Name,Licenses,Version,Repos
accountsservice,GPL-2+|GPL-3+,0.6.45-1ubuntu1,bionic|now
acl,GPL|LGPL-2.1,2.2.52-3build1,bionic|now
acpid,GPL-2,1:2.0.28-1ubuntu1,bionic|now
adduser,GPL-2,3.116ubuntu1,bionic|now
adwaita-icon-theme,GFDL-1.2|GPL|LGPL-3,3.28.0-1ubuntu1,bionic|now
apparmor,BSD-3-clause|BSD-3-clause|or|GPL-2+|GPL-2|GPL-2+|LGPL-2.1+,2.12-4ubuntu5.1,bionic-updates|bionic-security|now
apport,GPL-2+,2.20.9-0ubuntu7.9,bionic-updates|bionic-security|now
apport-symptoms,GPL-2+,0.20,bionic|now
apt,GPL-2,1.6.12,bionic-updates|now
apt-utils,GPL-2,1.6.12,bionic-updates|now
at,GPL-2+|GPL-3+|ISC,3.1.20-3.1ubuntu2,bionic|now
at-spi2-core,AFL-2.1|AFL-2.1|or|GPL-2+|GPL-2|GPL-2+|LGPL-2+|public-domain,2.28.0-1,bionic|now
base-files,GPL,10.1ubuntu2.8,bionic-updates|now
base-passwd,GPL-2,3.5.44,bionic|now
bash,GPL-3,4.4.18-2ubuntu1.2,bionic-updates|now
bash-completion,GPL-2+,1:2.8-1ubuntu1,bionic|now
bc,GPL-2.0+|GPL-2.0+|with|Texinfo|exception|X11|permissive|permissive'|public-domain,1.07.1-2,bionic|now
bcache-tools,GPL-2|GPL-2+|PostgreSQL,1.0.8-2build1,bionic|now
bind9-host,BSD-2-clause|BSD-3-clause|BSD-4-clause|ISC|ISC|or|MPL-2.0|MPL-2.0|MPL-2.0|or|ISC,1:9.11.3+dfsg-1ubuntu1.11,bionic-updates|bionic-security|now
bsdmainutils,unknown,11.1.2ubuntu1,bionic|now
bsdutils,BSD-2-clause|BSD-3-clause|BSD-4-clause|GPL-2|GPL-2+|GPL-3+|LGPL|LGPL-2+|LGPL-2.1+|LGPL-3+|MIT|public-domain,1:2.31.1-0.4ubuntu3.5,bionic-updates|now
btrfs-progs,GPL-2|GPL-2+|TLP-4,4.15.1-1build1,bionic|now
btrfs-tools,GPL-2|GPL-2+|TLP-4,4.15.1-1build1,bionic|now
busybox-initramfs,GPL-2,1:1.27.2-2ubuntu3.2,bionic-updates|bionic-security|now
busybox-static,GPL-2,1:1.27.2-2ubuntu3.2,bionic-updates|bionic-security|now
byobu,GPL-3,5.125-0ubuntu1,bionic|now
bzip2,GPL-2,1.0.6-8.1ubuntu0.2,bionic-updates|bionic-security|now
ca-certificates,GPL-2+|MPL-2.0,20180409,bionic|bionic-updates|now
cloud-guest-utils,GPL-3,0.30-0ubuntu5,bionic|now
cloud-init,Apache-2.0|GPL-3|GPL-3|or|Apache-2.0,19.4-33-gbb4131a2-0ubuntu1~18.04.1,bionic-updates|now
cloud-initramfs-copymods,GPL-3.0+,0.40ubuntu1.1,bionic-updates|now
cloud-initramfs-dyn-netconf,GPL-3.0+,0.40ubuntu1.1,bionic-updates|now
command-not-found,GPL,18.04.5,bionic-updates|now
command-not-found-data,GPL,18.04.5,bionic-updates|now
console-setup,GPL-2,1.178ubuntu2.9,bionic-updates|now
console-setup-linux,GPL-2,1.178ubuntu2.9,bionic-updates|now
coreutils,GPL-3,8.28-1ubuntu1,bionic|now
cpio,GPL-3,2.12+dfsg-6ubuntu0.18.04.1,bionic-updates|bionic-security|now
cron,Artistic|GPL-2+|ISC|Paul-Vixie's-license,3.0pl1-128.1ubuntu1,bionic|now
cryptsetup,Apache-2.0|CC0|CC0|or|Apache-2.0|GPL-2+|LGPL-2.1+|public-domain,2:2.0.2-1ubuntu1.1,bionic-updates|now
cryptsetup-bin,Apache-2.0|CC0|CC0|or|Apache-2.0|GPL-2+|LGPL-2.1+|public-domain,2:2.0.2-1ubuntu1.1,bionic-updates|now
curl,BSD-3-Clause|BSD-4-Clause|ISC|curl|other|public-domain,7.58.0-2ubuntu3.8,bionic-updates|bionic-security|now
dash,GPL,0.5.8-2.10,bionic|now
dbus,AFL-2.1|BSD-3-clause|BSD-3-clause-generic|Expat|GPL-2+|GPL-2+|or|AFL-2.1|GPL-2+|or|AFL-2.1,|Tcl-BSDish|g10-permissive,1.12.2-1ubuntu1.1,bionic-updates|bionic-security|now
dbus-x11,AFL-2.1|BSD-3-clause|BSD-3-clause-generic|Expat|GPL-2+|GPL-2+|or|AFL-2.1|GPL-2+|or|AFL-2.1,|Tcl-BSDish|g10-permissive,1.12.2-1ubuntu1.1,bionic-updates|bionic-security|now
dconf-gsettings-backend:amd64,GPL-3|LGPL-2+,0.26.0-2ubuntu3,NULL
dconf-service,GPL-3|LGPL-2+,0.26.0-2ubuntu3,bionic|now
debconf,BSD-2-clause,1.5.66ubuntu1,bionic-updates|now
debconf-i18n,BSD-2-clause,1.5.66ubuntu1,bionic-updates|now
debianutils,GPL,4.8.4,bionic|now
diffutils,GFDL|GPL,1:3.6-1,bionic|now
dirmngr,BSD-3-clause|Expat|GPL-3+|GPL-3+|or|BSD-3-clause|LGPL-2.1+|LGPL-3+|RFC-Reference|TinySCHEME|permissive,2.2.4-1ubuntu1.2,bionic-updates|bionic-security|now
distro-info-data,ISC,0.37ubuntu0.6,bionic-updates|bionic-security|now
dmeventd,GPL-2|LGPL-2.1,2:1.02.145-4.1ubuntu3.18.04.2,bionic-updates|now
dmidecode,GPL-2+,3.1-1ubuntu0.1,bionic-updates|now
dmsetup,GPL-2|LGPL-2.1,2:1.02.145-4.1ubuntu3.18.04.2,bionic-updates|now
